
Run on 2025-05-27 09:06:12:
Diameter_of_vortex.txt not found.
Result of main00000101.png: 1.45 cm
Result of main00000102.png: 1.45 cm
Result of main00000103.png: 1.46 cm
Result of main00000104.png: 1.46 cm
Result of main00000105.png: 1.46 cm
Result of main00000106.png: 1.46 cm
Result of main00000107.png: 1.46 cm
Result of main00000108.png: 1.46 cm
Result of main00000109.png: 1.48 cm
Result of main00000110.png: 1.50 cm
Result of main00000111.png: 1.50 cm
Result of main00000112.png: 1.48 cm
Result of main00000113.png: 1.47 cm
Result of main00000114.png: 1.46 cm
Result of main00000115.png: 1.46 cm
Result of main00000116.png: 1.46 cm
Result of main00000117.png: 1.46 cm
Result of main00000118.png: 1.46 cm
Result of main00000119.png: 1.47 cm
Result of main00000120.png: 1.46 cm
Result of main00000121.png: 1.47 cm
Result of main00000122.png: 1.47 cm
Result of main00000123.png: 1.47 cm
Result of main00000124.png: 1.47 cm
Result of main00000125.png: 1.48 cm
Result of main00000126.png: 1.52 cm
Result of main00000127.png: 1.52 cm
Result of main00000128.png: 1.50 cm
Result of main00000129.png: 1.48 cm
Result of main00000130.png: 1.48 cm
Result of main00000131.png: 1.48 cm
Result of main00000132.png: 1.49 cm
Result of main00000133.png: 1.48 cm
Result of main00000134.png: 1.48 cm
Result of main00000135.png: 1.49 cm
Result of main00000136.png: 1.50 cm
Result of main00000137.png: 1.49 cm
Result of main00000138.png: 1.49 cm
Result of main00000139.png: 1.49 cm
Result of main00000140.png: 1.50 cm
Result of main00000141.png: 1.52 cm
Result of main00000142.png: 1.52 cm
Result of main00000143.png: 1.52 cm
Result of main00000144.png: 1.51 cm
Result of main00000145.png: 1.51 cm
Result of main00000146.png: 1.49 cm
Result of main00000147.png: 1.48 cm
Result of main00000148.png: 1.48 cm
Result of main00000149.png: 1.48 cm
Result of main00000150.png: 1.48 cm
Result of main00000151.png: 1.48 cm
Result of main00000152.png: 1.48 cm
Result of main00000153.png: 1.48 cm
Result of main00000154.png: 1.48 cm
Result of main00000155.png: 1.48 cm
Result of main00000156.png: 1.48 cm
Result of main00000157.png: 1.50 cm
Result of main00000158.png: 1.52 cm
Result of main00000159.png: 1.52 cm
Result of main00000160.png: 1.52 cm
Result of main00000161.png: 1.50 cm
Result of main00000162.png: 1.49 cm
Result of main00000163.png: 1.48 cm
Result of main00000164.png: 1.49 cm
